name,x,y,z,classification
Point #0,87272.36048828125,438461.3718774414,0.481900801659,change
Point #1,87263.84547363281,438488.4128320313,0.214900722504,nochange
Point #2,87285.00248657225,438459.2238671875,0.08490084648099999,nochange
Point #3,87261.03947387694,438465.74284912116,0.095900764465,nochange
Point #5,87259.78346191406,438472.95287109376,0.025900831223,nochange
Point #6,87281.61546264647,438432.8628442385,0.8529008531569999,color_change
Point #7,87269.74748168945,438433.4358422852,0.09990095138499999,nochange
Point #8,87262.45048461914,438425.5448510742,0.245900859833,nochange
Point #9,87258.15946899414,438434.85185791017,0.9239008331299999,removed
Point #10,87248.56846557617,438442.399831543,0.6439008617399999,nochange
Point #11,87248.31147705077,438452.856862793,4.497900953293,color_change
Point #12,87256.10847412108,438487.8348291016,0.195900907516,nochange
Point #13,87302.19697509764,438435.1542871094,0.192762842178,nochange
