name,x,y,z,classification
Point #0,87115.65448242187,436838.7434729004,0.16459862709,removed
Point #1,87113.77044921875,436840.144473877,2.492598695755,removed
Point #2,87116.8812890625,436853.2944677735,0.386598629951,change
Point #3,87123.25946289062,436856.1504858399,-0.444401340485,removed
Point #4,87120.10638671875,436871.50845703133,-0.7114013004299999,nochange
Point #5,87129.30829101561,436873.8324926759,0.463598651886,nochange
Point #6,87120.94745117187,436878.51346191415,-0.619401292801,nochange
Point #7,87120.01849609376,436876.93344482407,-0.49240143775899997,nochange
Point #8,87121.91644531251,436879.96847900393,-0.601401405334,nochange
Point #9,87126.19842773436,436892.61349853524,-0.609401302338,nochange
