name,x,y,z,classification
Point #0,86930.69029460907,439253.5828263856,1.208579173088,change
Point #1,86935.04629455566,439239.6018273926,0.612579216957,nochange
Point #2,86944.66929374696,439253.8298266029,0.19457911491399998,nochange
Point #5,86914.17729459761,439270.2648265456,0.632579197884,nochange
Point #6,86910.02529464723,439271.230826149,0.751579155922,nochange
Point #7,86927.00529466629,439260.8078264093,0.754579176903,nochange
Point #8,86924.36829458237,439283.7398259735,0.6265791559220001,nochange
Point #10,86944.50529418945,439287.0888269043,1.006579151154,nochange
Point #11,86937.86129508972,439282.3818261719,0.849579205513,nochange
Point #12,86892.33556304933,439279.5525567628,0.576493372917,nochange
Point #13,86878.88156066895,439275.5775563812,0.22449325561500005,nochange
Point #14,86936.04556213379,439272.4845559693,0.338493337631,removed
Point #15,86926.71956239699,439230.65255714406,0.29449330806699997,added
Point #16,86949.57256256102,439302.14855743415,1.449493339062,nochange
