name,x,y,z,classification
Point #0,85318.06061523437,435451.36412963853,4.703855314255,nochange
Point #1,85288.17658203121,435456.86513671867,4.930855312347,nochange
Point #2,85308.21662109374,435461.19112548826,8.107855358124,change
Point #3,85355.9535595703,435454.38411865226,9.59485534668,color_change
Point #4,85347.50763671874,435445.8051391601,4.4758553886409995,nochange
Point #6,85375.18463867187,435432.7501159668,4.116855421066,nochange
Point #7,85361.8548046875,435430.56737670896,5.136115350723,nochange
Point #8,85302.5247265625,435440.1913696288,5.889115371704,nochange
Point #9,85329.43671386718,435435.87737426755,6.947115459442,added
Point #11,85348.36579101562,435432.3353515625,6.860115566254,added
Point #12,85354.95673339843,435431.13936767576,6.796115436554,added
